cell,pair,config,channel,arm,rule,binkey,n,m_cnt,gate_n_ok,gate_prod_ok,branch,solve_s,error
k1_off_rr,mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,uni_cluster_map_norsl,cluster_map,non-conveyable|chemical|small|pallet,705,1705,True,True,lap,0.41548450000118464,
k1_off_rr,mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,uni_cluster_map_norsl,cluster_map,non-conveyable|clothing|medium|pallet,14249,1000,False,False,greedy_gate,6.00004568696022e-07,
k1_off_rr,mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,uni_cluster_map_norsl,cluster_map,non-conveyable|food|singleton|singleton,4716,1500,False,False,greedy_gate,5.00003807246685e-07,
k1_off_rr,mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,uni_cluster_map_norsl,cluster_map,non-conveyable|clothing|singleton|singleton,512,1262,True,True,lap,0.13034139999945182,
k1_off_rr,mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,uni_cluster_map_norsl,cluster_map,non-conveyable|furniture|extra_large|pallet,6518,500,False,True,greedy_gate,4.00003045797348e-07,
k1_off_rr,mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,uni_cluster_map_norsl,cluster_map,conveyable|furniture|large|pallet,6414,650,False,False,greedy_gate,4.00003045797348e-07,
k1_off_rr,mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,uni_cluster_map_norsl,cluster_map,non-conveyable|seasonal|extra_large|pallet,7095,500,False,True,greedy_gate,2.00001522898674e-07,
k1_off_rr,mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,uni_cluster_map_norsl,cluster_map,non-conveyable|electronic|small|pallet,10505,2000,False,False,greedy_gate,2.00001522898674e-07,
k1_off_rr,mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,uni_cluster_map_norsl,cluster_map,conveyable|furniture|medium|pallet,206,612,True,True,lap,0.013818999999784864,
k1_off_rr,mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,uni_cluster_map_norsl,cluster_map,conveyable|clothing|large|pallet,7302,650,False,False,greedy_gate,2.00001522898674e-07,
k1_off_rr,mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,uni_cluster_map_norsl,cluster_map,non-conveyable|furniture|medium|pallet,729,1000,True,True,lap,0.2302501999947708,
k1_off_rr,mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,uni_cluster_map_norsl,cluster_map,non-conveyable|electronic|large|pallet,8619,650,False,False,greedy_gate,2.00001522898674e-07,
k1_off_rr,mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,uni_cluster_map_norsl,cluster_map,conveyable|chemical|large|pallet,30887,1950,False,False,greedy_gate,2.00001522898674e-07,
k1_off_rr,mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,uni_cluster_map_norsl,cluster_map,non-conveyable|chemical|large|pallet,46514,2600,False,False,greedy_gate,5.00003807246685e-07,
k1_off_rr,mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,uni_cluster_map_norsl,cluster_map,conveyable|electronic|extra_large|pallet,1695,500,False,True,greedy_gate,2.00001522898674e-07,
k1_off_rr,mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,uni_cluster_map_norsl,cluster_map,conveyable|seasonal|extra_large|pallet,11248,500,False,False,greedy_gate,2.00001522898674e-07,
k1_off_rr,mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,uni_cluster_map_norsl,cluster_map,conveyable|chemical|singleton|singleton,489,1239,True,True,lap,0.12124789999506902,
k1_off_rr,mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,uni_cluster_map_norsl,cluster_map,non-conveyable|clothing|small|pallet,524,1448,True,True,lap,0.206437900007586,
k1_off_rr,mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,uni_cluster_map_norsl,cluster_map,non-conveyable|chemical|singleton|singleton,805,1500,True,True,lap,0.4051331999944523,
k1_off_rr,mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,uni_cluster_map_norsl,cluster_map,conveyable|chemical|small|pallet,397,1191,True,True,lap,0.0876027000049362,
k1_off_rr,mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,uni_cluster_map_norsl,cluster_map,non-conveyable|electronic|extra_large|pallet,61,183,True,True,lap,0.0007267000037245452,
k1_off_rr,mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,uni_cluster_map_norsl,cluster_map,non-conveyable|clothing|large|pallet,233,583,True,True,lap,0.01457739999750629,
k1_off_rr,mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,uni_cluster_map_rank_norsl,cluster_map_rank,fulfillment|fulfillment|ff_medium|fulfillment,1558546,74700,False,False,greedy_gate,3.00002284348011e-07,
k1_off_rr,mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,uni_cluster_map_rank_norsl,cluster_map_rank,conveyable|clothing|medium|pallet,459066,25000,False,False,greedy_gate,8.00006091594696e-07,
k1_off_rr,mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,uni_cluster_map_rank_norsl,cluster_map_rank,conveyable|clothing|singleton|singleton,16047,1500,False,False,greedy_gate,1.100008375942707e-06,
k1_off_rr,mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,uni_cluster_map_rank_norsl,cluster_map_rank,conveyable|electronic|medium|pallet,48391,3000,False,False,greedy_gate,6.00004568696022e-07,
k1_off_rr,mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,uni_cluster_map_rank_norsl,cluster_map_rank,conveyable|seasonal|medium|pallet,23648,1000,False,False,greedy_gate,9.00006853044033e-07,
k1_off_rr,mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,uni_cluster_map_rank_norsl,cluster_map_rank,fulfillment|fulfillment|ff_large|fulfillment,679203,49800,False,False,greedy_gate,1.0999938240274787e-06,
k1_off_rr,mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,uni_cluster_map_rank_norsl,cluster_map_rank,fulfillment|fulfillment|ff_small|fulfillment,216173,124200,False,False,greedy_gate,7.999915396794677e-07,
k1_off_rr,mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,uni_cluster_map_rank_norsl,cluster_map_rank,non-conveyable|chemical|medium|pallet,278040,15000,False,False,greedy_gate,1.0999938240274787e-06,
k1_off_rr,mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,uni_cluster_map_rank_norsl,cluster_map_rank,non-conveyable|furniture|large|pallet,26467,1300,False,False,greedy_gate,6.00004568696022e-07,
k1_off_rr,mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,uni_cluster_map_rank_norsl,cluster_map_rank,conveyable|food|medium|pallet,519600,19000,False,False,greedy_gate,5.999900167807937e-07,
k1_off_rr,mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,uni_cluster_map_rank_norsl,cluster_map_rank,conveyable|food|singleton|singleton,48068,1500,False,False,greedy_gate,6.00004568696022e-07,
k1_off_rr,mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,uni_cluster_map_rank_norsl,cluster_map_rank,conveyable|chemical|medium|pallet,187472,10000,False,False,greedy_gate,9.00006853044033e-07,
k1_off_rr,mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,uni_cluster_map_rank_norsl,cluster_map_rank,conveyable|food|small|pallet,436699,2000,False,False,greedy_gate,1.1999945854768157e-06,
k1_off_rr,mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,uni_cluster_map_rank_norsl,cluster_map_rank,non-conveyable|seasonal|large|pallet,35111,1950,False,False,greedy_gate,9.999930625781417e-07,
k1_off_rr,mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,uni_cluster_map_rank_norsl,cluster_map_rank,conveyable|clothing|small|pallet,22691,2000,False,False,greedy_gate,1.0999938240274787e-06,
k1_off_rr,mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,uni_cluster_map_rank_norsl,cluster_map_rank,conveyable|electronic|small|pallet,136401,2000,False,False,greedy_gate,5.00003807246685e-07,
k1_off_rr,mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,uni_cluster_map_rank_norsl,cluster_map_rank,conveyable|electronic|singleton|singleton,46527,1500,False,False,greedy_gate,6.00004568696022e-07,
k1_off_rr,mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,uni_cluster_map_rank_norsl,cluster_map_rank,conveyable|seasonal|small|pallet,10345,2000,False,False,greedy_gate,3.00002284348011e-07,
k1_off_rr,mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,uni_cluster_map_rank_norsl,cluster_map_rank,conveyable|seasonal|singleton|singleton,10032,1500,False,False,greedy_gate,1.00000761449337e-07,
k1_off_rr,mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,uni_cluster_map_rank_norsl,cluster_map_rank,conveyable|electronic|large|pallet,117322,6500,False,False,greedy_gate,1.0999938240274787e-06,
k1_off_rr,mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,uni_cluster_map_rank_norsl,cluster_map_rank,non-conveyable|food|medium|pallet,51438,3000,False,False,greedy_gate,7.00005330145359e-07,
k1_off_rr,mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,uni_cluster_map_rank_norsl,cluster_map_rank,non-conveyable|food|small|pallet,42966,2000,False,False,greedy_gate,5.999900167807937e-07,
k1_off_rr,mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,uni_cluster_map_rank_norsl,cluster_map_rank,non-conveyable|electronic|singleton|singleton,3426,1500,False,False,greedy_gate,3.9998849388211966e-07,
k1_off_rr,mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,uni_cluster_map_rank_norsl,cluster_map_rank,conveyable|seasonal|large|pallet,51738,2600,False,False,greedy_gate,4.00003045797348e-07,
k1_off_rr,mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,uni_cluster_map_rank_norsl,cluster_map_rank,non-conveyable|seasonal|small|pallet,6830,2000,False,False,greedy_gate,3.00002284348011e-07,
k1_off_rr,mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,uni_cluster_map_rank_norsl,cluster_map_rank,non-conveyable|seasonal|singleton|singleton,6667,1500,False,False,greedy_gate,4.00003045797348e-07,
k1_off_rr,mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,uni_cluster_map_rank_norsl,cluster_map_rank,non-conveyable|electronic|medium|pallet,3896,1000,False,True,greedy_gate,1.9998697098344564e-07,
k1_off_rr,mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,uni_cluster_map_rank_norsl,cluster_map_rank,non-conveyable|seasonal|medium|pallet,15113,1000,False,False,greedy_gate,3.00002284348011e-07,
k1_off_rr,mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,uni_cluster_map_rank_norsl,cluster_map_rank,conveyable|furniture|extra_large|pallet,1648,500,False,True,greedy_gate,2.00001522898674e-07,
k1_off_rr,mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,uni_cluster_map_rank_norsl,cluster_map_rank,non-conveyable|chemical|small|pallet,705,1705,True,True,lap,0.4034840999956941,
k1_off_rr,mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,uni_cluster_map_rank_norsl,cluster_map_rank,non-conveyable|clothing|medium|pallet,14249,1000,False,False,greedy_gate,8.00006091594696e-07,
k1_off_rr,mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,uni_cluster_map_rank_norsl,cluster_map_rank,non-conveyable|food|singleton|singleton,4716,1500,False,False,greedy_gate,4.00003045797348e-07,
k1_off_rr,mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,uni_cluster_map_rank_norsl,cluster_map_rank,non-conveyable|clothing|singleton|singleton,512,1262,True,True,lap,0.13246589999471325,
k1_off_rr,mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,uni_cluster_map_rank_norsl,cluster_map_rank,non-conveyable|furniture|extra_large|pallet,6518,500,False,True,greedy_gate,4.00003045797348e-07,
k1_off_rr,mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,uni_cluster_map_rank_norsl,cluster_map_rank,conveyable|furniture|large|pallet,6414,650,False,False,greedy_gate,3.00002284348011e-07,
k1_off_rr,mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,uni_cluster_map_rank_norsl,cluster_map_rank,non-conveyable|seasonal|extra_large|pallet,7095,500,False,True,greedy_gate,3.00002284348011e-07,
k1_off_rr,mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,uni_cluster_map_rank_norsl,cluster_map_rank,non-conveyable|electronic|small|pallet,10505,2000,False,False,greedy_gate,2.00001522898674e-07,
k1_off_rr,mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,uni_cluster_map_rank_norsl,cluster_map_rank,conveyable|furniture|medium|pallet,206,612,True,True,lap,0.013989499988383614,
k1_off_rr,mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,uni_cluster_map_rank_norsl,cluster_map_rank,conveyable|clothing|large|pallet,7302,650,False,False,greedy_gate,1.9998697098344564e-07,
k1_off_rr,mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,uni_cluster_map_rank_norsl,cluster_map_rank,non-conveyable|furniture|medium|pallet,729,1000,True,True,lap,0.2712418000010075,
k1_off_rr,mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,uni_cluster_map_rank_norsl,cluster_map_rank,non-conveyable|electronic|large|pallet,8619,650,False,False,greedy_gate,2.9998773243278265e-07,
k1_off_rr,mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,uni_cluster_map_rank_norsl,cluster_map_rank,conveyable|chemical|large|pallet,30887,1950,False,False,greedy_gate,2.00001522898674e-07,
k1_off_rr,mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,uni_cluster_map_rank_norsl,cluster_map_rank,non-conveyable|chemical|large|pallet,46514,2600,False,False,greedy_gate,1.00000761449337e-06,
k1_off_rr,mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,uni_cluster_map_rank_norsl,cluster_map_rank,conveyable|electronic|extra_large|pallet,1695,500,False,True,greedy_gate,5.00003807246685e-07,
k1_off_rr,mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,uni_cluster_map_rank_norsl,cluster_map_rank,conveyable|seasonal|extra_large|pallet,11248,500,False,False,greedy_gate,5.00003807246685e-07,
k1_off_rr,mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,uni_cluster_map_rank_norsl,cluster_map_rank,conveyable|chemical|singleton|singleton,489,1239,True,True,lap,0.16978460000245832,
k1_off_rr,mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,uni_cluster_map_rank_norsl,cluster_map_rank,non-conveyable|clothing|small|pallet,524,1448,True,True,lap,0.17276199998741504,
k1_off_rr,mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,uni_cluster_map_rank_norsl,cluster_map_rank,non-conveyable|chemical|singleton|singleton,805,1500,True,True,lap,0.4320605999964755,
k1_off_rr,mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,uni_cluster_map_rank_norsl,cluster_map_rank,conveyable|chemical|small|pallet,397,1191,True,True,lap,0.08169600000837818,
k1_off_rr,mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,uni_cluster_map_rank_norsl,cluster_map_rank,non-conveyable|electronic|extra_large|pallet,61,183,True,True,lap,0.0006766000005882233,
k1_off_rr,mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,uni_cluster_map_rank_norsl,cluster_map_rank,non-conveyable|clothing|large|pallet,233,583,True,True,lap,0.013427499987301417,
k1_off_rr,mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,uni_map_norsl,map,fulfillment|fulfillment|ff_medium|fulfillment,1558546,74700,False,False,greedy_gate,3.00002284348011e-07,
k1_off_rr,mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,uni_map_norsl,map,conveyable|clothing|medium|pallet,459066,25000,False,False,greedy_gate,4.00003045797348e-07,
k1_off_rr,mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,uni_map_norsl,map,conveyable|clothing|singleton|singleton,16047,1500,False,False,greedy_gate,3.9998849388211966e-07,
k1_off_rr,mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,uni_map_norsl,map,conveyable|electronic|medium|pallet,48391,3000,False,False,greedy_gate,4.00003045797348e-07,
k1_off_rr,mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,uni_map_norsl,map,conveyable|seasonal|medium|pallet,23648,1000,False,False,greedy_gate,2.9998773243278265e-07,
k1_off_rr,mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,uni_map_norsl,map,fulfillment|fulfillment|ff_large|fulfillment,679203,49800,False,False,greedy_gate,8.00006091594696e-07,
k1_off_rr,mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,uni_map_norsl,map,fulfillment|fulfillment|ff_small|fulfillment,216173,124200,False,False,greedy_gate,7.999915396794677e-07,
k1_off_rr,mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,uni_map_norsl,map,non-conveyable|chemical|medium|pallet,278040,15000,False,False,greedy_gate,4.00003045797348e-07,
k1_off_rr,mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,uni_map_norsl,map,non-conveyable|furniture|large|pallet,26467,1300,False,False,greedy_gate,4.00003045797348e-07,
k1_off_rr,mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,uni_map_norsl,map,conveyable|food|medium|pallet,519600,19000,False,False,greedy_gate,5.00003807246685e-07,
k1_off_rr,mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,uni_map_norsl,map,conveyable|food|singleton|singleton,48068,1500,False,False,greedy_gate,5.999900167807937e-07,
k1_off_rr,mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,uni_map_norsl,map,conveyable|chemical|medium|pallet,187472,10000,False,False,greedy_gate,3.00002284348011e-07,
k1_off_rr,mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,uni_map_norsl,map,conveyable|food|small|pallet,436699,2000,False,False,greedy_gate,6.00004568696022e-07,
k1_off_rr,mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,uni_map_norsl,map,non-conveyable|seasonal|large|pallet,35111,1950,False,False,greedy_gate,6.00004568696022e-07,
k1_off_rr,mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,uni_map_norsl,map,conveyable|clothing|small|pallet,22691,2000,False,False,greedy_gate,3.00002284348011e-07,
k1_off_rr,mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,uni_map_norsl,map,conveyable|electronic|small|pallet,136401,2000,False,False,greedy_gate,4.00003045797348e-07,
k1_off_rr,mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,uni_map_norsl,map,conveyable|electronic|singleton|singleton,46527,1500,False,False,greedy_gate,6.00004568696022e-07,
k1_off_rr,mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,uni_map_norsl,map,conveyable|seasonal|small|pallet,10345,2000,False,False,greedy_gate,3.00002284348011e-07,
k1_off_rr,mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,uni_map_norsl,map,conveyable|seasonal|singleton|singleton,10032,1500,False,False,greedy_gate,3.00002284348011e-07,
k1_off_rr,mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,uni_map_norsl,map,conveyable|electronic|large|pallet,117322,6500,False,False,greedy_gate,5.00003807246685e-07,
